observation_date,DEXBZUS
Jan-10,1.781652632
Feb-10,1.842005263
Mar-10,1.78553913
Apr-10,1.756781818
May-10,1.814155
Jun-10,1.8042
Jul-10,1.7689
Aug-10,1.758895455
Sep-10,1.717990476
Oct-10,1.68373
Nov-10,1.713105
Dec-10,1.695485714
Jan-11,1.674525
Feb-11,1.666394737
Mar-11,1.657352174
Apr-11,1.5833
May-11,1.613609524
Jun-11,1.585409091
Jul-11,1.56251
Aug-11,1.59663913
Sep-11,1.749204762
Oct-11,1.77027
Nov-11,1.78642
Dec-11,1.839104762
Jan-12,1.785035
Feb-12,1.7168
Mar-12,1.7953
Apr-12,1.852247619
May-12,1.981022727
Jun-12,2.048195238
Jul-12,2.029552381
Aug-12,2.027943478
Sep-12,2.026857895
Oct-12,2.029731818
Nov-12,2.06622
Dec-12,2.07746
Jan-13,2.028109524
Feb-13,1.972931579
Mar-13,1.984214286
Apr-13,2.001109091
May-13,2.036472727
Jun-13,2.17336
Jul-13,2.251831818
Aug-13,2.340790909
Sep-13,2.264105
Oct-13,2.188222727
Nov-13,2.295936842
Dec-13,2.347095238
Jan-14,2.385780952
Feb-14,2.3792
Mar-14,2.325052381
Apr-14,2.232472727
May-14,2.219509524
Jun-14,2.236019048
Jul-14,2.224213636
Aug-14,2.268519048
Sep-14,2.337880952
Oct-14,2.449531818
Nov-14,2.552727778
Dec-14,2.641885714
