month,realgdp
2010 - Jan,14552.912
2010 - Feb,14583.588
2010 - Mar,14677.722
2010 - Apr,14724.726
2010 - May,14734.950
2010 - Jun,14778.104
2010 - Jul,14835.295
2010 - Aug,14816.859
2010 - Sep,14884.436
2010 - Oct,14949.819
2010 - Nov,14896.706
2010 - Dec,14970.569
2011 - Jan,14836.298
2011 - Feb,14800.884
2011 - Mar,15006.760
2011 - Apr,15049.565
2011 - May,14994.282
2011 - Jun,14925.233
2011 - Jul,15000.591
2011 - Aug,15092.509
2011 - Sep,14970.565
2011 - Oct,15248.633
2011 - Nov,15165.260
2011 - Dec,15157.442
2012 - Jan,15241.885
2012 - Feb,15377.558
2012 - Mar,15253.721
2012 - Apr,15340.086
2012 - May,15356.443
2012 - Jun,15390.859
2012 - Jul,15437.132
2012 - Aug,15313.851
2012 - Sep,15391.530
2012 - Oct,15294.068
2012 - Nov,15358.166
2012 - Dec,15500.838
2013 - Jan,15526.001
2013 - Feb,15389.934
2013 - Mar,15455.847
2013 - Apr,15511.608
2013 - May,15421.594
2013 - Jun,15567.587
2013 - Jul,15564.830
2013 - Aug,15617.379
2013 - Sep,15661.202
2013 - Oct,15698.846
2013 - Nov,15810.875
2013 - Dec,15774.986
2014 - Jan,15674.828
2014 - Feb,15723.679
2014 - Mar,15776.388
2014 - Apr,15854.815
2014 - May,15896.330
2014 - Jun,15953.576
2014 - Jul,16001.068
2014 - Aug,16107.479
2014 - Sep,16098.049
2014 - Oct,16122.403
2014 - Nov,16181.883
2014 - Dec,16150.076
